run,elpd_loo_AR,elpd_loo_MA,elpd_loo_BMA,elpd_loo_BPS,elpd_loo_BPS2,test_rmse_AR,test_rmse_MA,test_rmse_BMA,test_rmse_BPS,test_rmse_BPS2,AR-BPS,MA-BPS,
1,-161.6,-161.7,-49.8,-50.4,-50.4,5.6,5.6,5.5,5.0,5.0,0.5,0.5,1.0
2,-148.1,-140.2,-59.5,-57.2,-57.2,5.6,5.5,6.4,6.7,6.6,-1.1,-1.2,2.0
3,-165.9,-164.0,-57.5,-52.1,-52.3,4.7,6.2,5.5,5.4,5.9,-0.7,0.7,3.0
4,-152.7,-138.9,-60.4,-55.0,-55.4,5.6,5.4,6.2,6.8,6.8,-1.2,-1.4,4.0
5,-163.6,-163.8,-56.2,-55.6,-55.7,5.6,5.6,6.1,6.1,6.1,-0.5,-0.5,5.0
6,-162.9,-162.4,-55.8,-53.4,-53.5,6.3,6.4,6.6,4.8,4.9,1.5,1.6,6.0
7,-164.1,-164.0,-63.7,-58.8,-58.7,6.6,8.9,6.8,6.8,9.1,-0.2,2.1,7.0
8,-164.1,-166.6,-60.1,-57.9,-58.0,5.8,5.8,6.3,6.0,6.0,-0.2,-0.3,8.0
9,-141.6,-141.1,-59.9,-61.1,-61.0,5.8,5.6,6.0,5.4,5.4,0.4,0.2,9.0
10,-153.1,-151.1,-55.4,-52.5,-52.7,4.8,5.1,5.4,5.2,5.0,-0.5,-0.1,10.0
11,-168.6,-164.4,-49.5,-50.4,-50.5,6.6,6.6,5.7,5.2,5.2,1.4,1.4,11.0
12,-156.0,-153.0,-59.2,-56.8,-56.6,6.3,6.4,7.1,5.6,5.6,0.7,0.7,12.0
13,-158.2,-155.4,-59.7,-55.7,-55.9,4.8,4.6,5.5,6.1,6.8,-1.3,-1.5,13.0
14,-160.0,-160.9,-52.5,-52.0,-52.2,5.5,5.4,5.5,4.9,5.0,0.5,0.5,14.0
15,-156.0,-155.7,-59.9,-61.0,-60.3,5.1,5.3,6.0,5.5,5.5,-0.4,-0.1,15.0
16,-154.4,-154.7,-49.6,-48.4,-48.7,4.6,4.5,4.8,4.5,4.7,0.0,0.0,16.0
17,-155.5,-152.6,-66.1,-61.4,-61.7,5.9,5.9,7.5,5.9,6.9,0.0,0.0,17.0
18,-152.9,-151.2,-56.6,-55.3,-55.8,4.7,4.6,5.4,5.4,5.4,-0.7,-0.8,18.0
19,-152.9,-150.9,-56.8,-54.1,-53.1,5.2,5.2,5.9,5.1,4.9,0.0,0.1,19.0
20,-145.0,-143.8,-55.3,-54.6,-54.7,4.7,4.7,5.5,5.5,5.6,-0.7,-0.8,20.0
21,-160.9,-160.3,-58.3,-55.7,-56.3,5.3,5.2,6.0,5.4,5.7,-0.2,-0.2,21.0
22,-164.0,-163.7,-62.3,-56.1,-56.2,5.9,5.9,7.0,6.6,6.6,-0.7,-0.7,22.0
23,-160.3,-150.7,-63.7,-59.9,-59.6,5.5,5.4,6.4,5.2,5.2,0.3,0.2,23.0
24,-161.8,-161.6,-67.5,-62.7,-62.6,4.9,5.1,7.0,7.4,7.6,-2.5,-2.3,24.0
25,-160.8,-162.5,-54.7,-56.1,-56.0,6.6,7.2,6.6,6.1,6.1,0.5,1.1,25.0
26,-163.9,-165.7,-57.6,-58.0,-58.1,5.7,5.6,5.6,4.5,4.6,1.1,1.1,26.0
27,-156.5,-156.0,-56.4,-54.7,-55.1,5.9,5.8,5.9,5.2,5.3,0.6,0.5,27.0
28,-145.7,-146.0,-56.3,-51.9,-51.8,5.0,5.0,6.1,6.5,6.8,-1.4,-1.5,28.0
29,-138.2,-138.8,-56.0,-55.3,-55.1,6.0,6.0,6.3,5.8,6.0,0.2,0.2,29.0
30,-164.4,-160.0,-55.5,-56.0,-56.1,4.7,4.8,5.1,4.5,4.6,0.2,0.3,30.0
31,-163.0,-160.5,-56.6,-56.8,-56.8,6.5,6.5,6.7,6.3,6.3,0.1,0.1,31.0
32,-156.5,-156.3,-55.2,-53.7,-53.3,4.9,4.9,5.6,5.1,5.1,-0.2,-0.2,32.0
33,-141.9,-145.4,-54.5,-54.4,-54.1,5.9,5.7,5.7,5.0,5.1,0.9,0.7,33.0
34,-163.8,-162.6,-65.8,-63.5,-63.5,4.6,4.7,6.4,5.5,5.4,-0.9,-0.7,34.0
35,-164.0,-162.9,-58.1,-58.3,-58.3,5.1,5.0,5.7,5.0,5.1,0.1,0.1,35.0
36,-153.6,-156.4,-51.9,-51.8,-51.7,5.0,4.9,5.2,4.9,5.0,0.1,0.1,36.0
37,-157.0,-156.6,-59.4,-58.7,-58.8,6.0,6.1,6.7,5.2,5.2,0.9,0.9,37.0
38,-157.3,-157.2,-54.3,-51.9,-51.8,4.8,4.7,5.2,4.3,4.2,0.5,0.4,38.0
39,-142.9,-156.6,-52.5,-52.6,-52.8,5.2,5.2,4.9,4.7,4.6,0.5,0.4,39.0
40,-156.9,-157.2,-56.1,-56.7,-56.7,4.7,4.8,5.5,4.9,4.9,-0.2,-0.1,40.0
41,-147.6,-142.0,-50.0,-50.8,-50.7,5.3,5.2,5.1,4.7,4.7,0.6,0.5,41.0
42,-153.2,-149.3,-55.3,-55.8,-55.9,5.3,5.2,5.3,4.6,4.8,0.7,0.5,42.0
43,-170.1,-169.7,-55.8,-56.6,-56.6,5.9,5.9,6.0,5.5,5.5,0.3,0.3,43.0
44,-148.7,-134.9,-54.5,-54.9,-54.9,5.7,5.4,5.0,4.3,4.5,1.4,1.0,44.0
45,-173.0,-173.6,-57.1,-51.5,-51.8,5.9,5.9,5.2,6.1,6.5,-0.2,-0.2,45.0
46,-172.1,-171.5,-48.8,-48.9,-49.1,4.7,4.7,3.8,3.4,3.5,1.3,1.2,46.0
47,-154.8,-153.9,-58.6,-54.7,-54.7,4.5,4.4,5.4,5.4,5.5,-0.9,-1.0,47.0
48,-144.1,-138.8,-48.0,-48.1,-47.9,5.2,5.1,5.1,5.0,4.9,0.2,0.1,48.0
49,-150.9,-148.2,-60.9,-60.6,-60.4,5.7,12.6,7.3,12.7,56.2,-7.0,-0.1,49.0
50,-162.0,-159.8,-55.2,-54.8,-54.9,6.2,6.3,6.5,6.3,6.4,-0.1,0.0,50.0
